,name,content,date,like,place,tags,link,follower,follow
20,카페하이웨스트,애플 크럼블과 아이스크림 조합은..💓#하이웨스트익선 #카페하이웨스트 #익선동카페 #카페 #카페인테리어 #cafehighwaist #cafehighwaistikseon #익선동 #카페오픈 #익선동케이크,2020-11-22,0,하이웨스트익선,"['#하이웨스트익선', '#카페하이웨스트', '#익선동카페', '#카페', '#카페인테리어', '#cafehighwaist', '#cafehighwaistikseon', '#익선동', '#카페오픈', '#익선동케이크']",https://www.instagram.com/vivian__log/,454,250
21,카페하이웨스트,☕🍪감성 뿜뿜 디저트 천국🎅🏻🎄...#애스타그램육아 #육아맘일상 #엄마일상 #젊줌마일상 #주부일상#주부놀이 #애엄마일상 #젊줌마일상 #육아인플루언서 #주부인플루언서#육아동지 #육아동지들 #자유부인 #자유부인데이 #자부데이#애데렐라 #감성육아 #엄마감성 #엄마취향 #목동맘#육아소통 #육아소통환영 #육아맞팔 #육아맘소통 #육아맘소통환영#연남동카페 #연남동카페추천 #하이웨스트 #카페하이웨스트 #하이웨스트연남,2020-11-22,724,미리크리스마스,"['#애스타그램육아', '#육아맘일상', '#엄마일상', '#젊줌마일상', '#주부일상', '#주부놀이', '#애엄마일상', '#젊줌마일상', '#육아인플루언서', '#주부인플루언서', '#육아동지', '#육아동지들', '#자유부인', '#자유부인데이', '#자부데이', '#애데렐라', '#감성육아', '#엄마감성', '#엄마취향', '#목동맘', '#육아소통', '#육아소통환영', '#육아맞팔', '#육아맘소통', '#육아맘소통환영', '#연남동카페', '#연남동카페추천', '#하이웨스트', '#카페하이웨스트', '#하이웨스트연남']",https://www.instagram.com/__flower_deer/,333000,3844
22,카페하이웨스트,4차 마켓 ing 💛🤍💛🤍 #리드인투 #lead_into #우니착용,2020-11-22,22,,"['#리드인투', '#lead_into', '#우니착용']",https://www.instagram.com/lead_into/,189,132
23,카페하이웨스트,연남_카페하이웨스트🧁엄청 예뻤던 카페‼️아기자기하고 심지어 화장실도 예뻤다 ◡̈ 근데 내가 먹었던 음료가 실패였어서...🥲글구 넘 복작복작했음...!!,2020-11-21,239,연남동,[],https://www.instagram.com/piglet_ong/,522,464
24,카페하이웨스트,Cafe☕️#종로#종로카페#토요일#커피#디저트#빵#케익#겨울#2020#98#23#연말#카페하이웨스트,2020-11-21,27,,"['#종로', '#종로카페', '#토요일', '#커피', '#디저트', '#빵', '#케익', '#겨울', '#2020', '#98', '#23', '#연말', '#카페하이웨스트']",https://www.instagram.com/space_min98/,298,292
25,카페하이웨스트,𝒞𝒶𝒻𝑒 𝒽𝒾𝑔𝒽𝓌𝒶𝒾𝓈𝓉,2020-11-21,84,하이웨스트익선,[],https://www.instagram.com/do.do_oh/,323,167
26,카페하이웨스트,"오늘은 바닐라 아이스크림이 올라간 크럼블 치즈케이크를 준비했어요~!블루베리, 애플, 체리 모두 사랑스럽죠💓#하이웨스트익선 #카페하이웨스트 #익선동카페 #카페 #카페인테리어 #cafehighwaist #cafehighwaistikseon #익선동 #카페오픈 #익선동케이크",2020-11-21,0,하이웨스트익선,"['#하이웨스트익선', '#카페하이웨스트', '#익선동카페', '#카페', '#카페인테리어', '#cafehighwaist', '#cafehighwaistikseon', '#익선동', '#카페오픈', '#익선동케이크']",https://www.instagram.com/cafe_highwaist/,3397,3
27,카페하이웨스트,달달한 기분전환🍹,2020-11-21,14,연남동 어딘가,[],https://www.instagram.com/winnieworldd/,35,152
28,카페하이웨스트,층고 높고 채광 좋고 색감 말모말모 🧁🚪🤍,2020-11-20,48,,[],https://www.instagram.com/zuulog/,583,58
29,카페하이웨스트,너무예쁜 디져트 맛집❣️다 예쁘다....#daily #dailygram #instagood #instagram #instadaily #followforfollowback #following #followers #catstagram #cafe #익선동카페 #익선동핫플 #카페하이웨스트 #하이웨스트익선 #디져트카페 #디져트맛집 #일상,2020-11-20,51,하이웨스트익선,"['#daily', '#dailygram', '#instagood', '#instagram', '#instadaily', '#followforfollowback', '#following', '#followers', '#catstagram', '#cafe', '#익선동카페', '#익선동핫플', '#카페하이웨스트', '#하이웨스트익선', '#디져트카페', '#디져트맛집', '#일상']",https://www.instagram.com/naaa_r__/,358,300
